training,low_recharge,low_search,low_wait,high_search,high_wait
1,                        6.105774189370787e-59,                        4.2098869612784044e-59,                        1.6523144396367736e-58,                        3.640798758724202e-59,                        5.1368873363210976e-59
2,                        1.8058418220602597e-13,                        2.1651774183312498e-13,                        1.4990134193077034e-12,                        1.1688850393049591e-13,                        6.447049796645265e-14
3,                        1.8591161766727174e-24,                        1.742646524664696e-25,                        4.64453614126495e-25,                        1.938218981266185e-25,                        4.825520666463614e-25
4,                        1.9463517018574516e-11,                        5.134687003505056e-12,                        1.1350314557236921e-11,                        5.336170100457514e-12,                        1.468168088449483e-11
5,                        8.157350018494093e-13,                        3.5236360647846006e-13,                        2.076449220202132e-12,                        2.8486462504054725e-13,                        4.293769909773432e-13
6,                        9.016503258559439e-54,                        5.371992618730624e-54,                        1.889198170948315e-53,                        4.393218689613549e-54,                        4.5087690211013157e-54
7,                        1.0778714759076065e-74,                        9.085748813738331e-75,                        4.2625520747805776e-74,                        7.119980820589816e-75,                        5.826958577526779e-75
8,                        1.9233218735529464e-20,                        9.289698106920737e-21,                        7.379791579437869e-20,                        8.730612399127892e-21,                        1.1180721927813664e-20
9,                        8.988330711432057e-70,                        3.410237581176887e-70,                        2.4229541160560864e-69,                        3.905169751876457e-70,                        6.586931396140795e-70
10,                        4.257889099335323e-61,                        2.2734213422333615e-61,                        1.1970272976106576e-60,                        2.1336932996513862e-61,                        3.0963079123367306e-61
11,                        1.1144529202083329e-25,                        2.766109903565429e-26,                        8.921112803523337e-26,                        2.0651302962330914e-26,                        3.8090414496631244e-26
12,                        3.4838597249882756e-67,                        1.1854870133638953e-67,                        9.35817964624776e-67,                        1.5016013533253507e-67,                        2.1072593064608548e-67
13,                        6.83055189055378e-66,                        2.91538241573435e-66,                        1.3298175185668547e-65,                        3.0322290765345094e-66,                        6.132101516949845e-66
14,                        2.4915773267517458e-27,                        5.348724434738907e-28,                        3.895295590926306e-27,                        6.405965127196316e-28,                        8.359615820659555e-28
15,                        2.4624262620921897e-60,                        1.2839144151723928e-60,                        9.616514906905341e-60,                        9.531237767179051e-61,                        3.1672247368244186e-60
16,                        2.4883101500233762e-60,                        3.5351348931103194e-60,                        2.1697710772605165e-59,                        4.1646235789626454e-60,                        1.407534997412275e-60
17,                        4.859902630980679e-10,                        1.421964067617004e-10,                        1.0019028728546656e-09,                        1.1633441032341641e-10,                        2.383901970703416e-10
18,                        4.040291907613729e-59,                        6.796508096071255e-60,                        9.425667692378401e-60,                        5.734949656223978e-60,                        5.146348878939211e-60
